"","x"
"BB12",0
"BB16",0
"BB3",0
"BB6",0
"BB7",0
"CR41",0.00862068965517241
"EW10",0.15009746588694
"EW12",0.00202565833896016
"EW14",0.00803212851405622
"EW16",0
"EW18",0
"EW20",0.0397350993377483
"EW21A",0
"EW23A",0
"EW25A",0
"EW28",0.0538922155688623
"EW31",0.0133928571428571
"EW33",0.00421940928270042
"EW36A",0.0043859649122807
"EW5",0.10025706940874
"EW8",0.115853658536585
"LG3",0.0953346855983773
"LPA",0.100418410041841
"LPB",0.282208588957055
"LPC",0.25
"MO43",0
"MO47",0
"MO51",0.00581395348837209
"MO55",0
"MO59",0
"MO63",0
"MW10",0.108108108108108
"MW12",0.138297872340426
"MW14",0.203703703703704
"MW16",0.0737051792828685
"MW18",0.0376146788990826
"MW2",0.00625
"MW4",0
"MW6",0
"MW8",0.0142857142857143
"OT22",0
"SG2",0.0355987055016181
"SG4",0.0317460317460317
"WG",0
"WW10A",0.0348258706467662
"WW12A",0
"WW13",0.1699196326062
"WW14A",0.0733333333333333
"WW17",0.0837789661319073
"WW17A",0.271528316524438
"WW20A",0.0602006688963211
"WWMB",0.0854858548585486
"XA1",0.017304189435337
