site,rotation_sept,3/8/2015,3/9/2015,3/10/2015,3/11/2015,3/12/2015,3/13/2015,3/14/2015,3/15/2015,3/16/2015,3/17/2015,3/18/2015,3/19/2015,3/20/2015,3/21/2015,3/22/2015,3/23/2015,3/24/2015,3/25/2015,3/26/2015,3/27/2015,3/28/2015,3/29/2015,3/30/2015,3/31/2015,4/1/2015,4/2/2015,4/3/2015,4/4/2015,4/5/2015,4/6/2015,4/7/2015,4/8/2015,4/9/2015,4/10/2015,4/11/2015,4/12/2015,4/13/2015,4/14/2015,4/15/2015,4/16/2015,4/17/2015,4/18/2015,4/19/2015,4/20/2015,4/21/2015,4/22/2015,4/23/2015,4/24/2015,4/25/2015,4/26/2015,4/27/2015,4/28/2015,4/29/2015,4/30/2015,5/1/2015,5/2/2015,5/3/2015,5/4/2015,5/5/2015,5/6/2015,5/7/2015,5/8/2015,5/9/2015,5/10/2015,5/11/2015,5/12/2015,5/13/2015,5/14/2015,5/15/2015,5/16/2015,5/17/2015,5/18/2015,5/19/2015,5/20/2015,5/21/2015,5/22/2015,5/23/2015,5/24/2015,5/25/2015,5/26/2015,5/27/2015,5/28/2015,5/29/2015,5/30/2015,5/31/2015,6/1/2015,6/2/2015,6/3/2015,6/4/2015,6/5/2015,6/6/2015,6/7/2015,6/8/2015,6/9/2015,6/10/2015,6/11/2015,6/12/2015,6/13/2015,6/14/2015,6/15/2015,6/16/2015,6/17/2015,6/18/2015,6/19/2015,6/20/2015,6/21/2015,6/22/2015,6/23/2015,6/24/2015,6/25/2015,6/26/2015,6/27/2015,6/28/2015,6/29/2015,6/30/2015,7/1/2015,7/2/2015,7/3/2015,7/4/2015,7/5/2015,7/6/2015,7/7/2015,7/8/2015,7/9/2015,7/10/2015,7/11/2015,7/12/2015,7/13/2015,7/14/2015,7/15/2015,7/16/2015,7/17/2015,9/7/2015,9/8/2015,9/9/2015,9/10/2015,9/11/2015,9/12/2015,9/13/2015,9/14/2015,9/15/2015,9/16/2015,9/17/2015,9/18/2015,9/19/2015,9/20/2015,9/21/2015,9/22/2015,9/23/2015,9/24/2015,9/25/2015,9/26/2015,9/27/2015,9/28/2015,9/29/2015,9/30/2015,10/1/2015,10/2/2015,10/3/2015,10/4/2015,10/5/2015,10/6/2015,10/7/2015,10/8/2015,10/9/2015,10/10/2015,10/11/2015,10/12/2015,10/13/2015,10/14/2015,10/15/2015,10/16/2015,10/17/2015,10/18/2015,10/19/2015,10/20/2015,10/21/2015,10/22/2015,10/23/2015,10/24/2015,10/25/2015,10/26/2015,10/27/2015,10/28/2015,10/29/2015,10/30/2015,10/31/2015,11/1/2015,11/2/2015,11/3/2015,11/4/2015,11/5/2015,11/6/2015,11/7/2015,11/8/2015,11/9/2015,11/10/2015,11/11/2015,11/12/2015,11/13/2015,11/14/2015,11/15/2015,11/16/2015,11/17/2015,11/18/2015,11/19/2015,11/20/2015,11/21/2015,11/22/2015,11/23/2015,11/24/2015,11/25/2015,11/26/2015,11/27/2015,11/28/2015,11/29/2015,11/30/2015,12/1/2015,12/2/2015,12/3/2015,12/4/2015,12/5/2015,12/6/2015
106,2,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,afteve_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,morning_known,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,afteve_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,morning_known,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,afteve_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,morning_known,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,afteve_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,morning_known
194,1,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,afteve_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,morning_known,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,afteve_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,moraft_known,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,afteve_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,morning_known,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,afteve_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,morning_known,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking
220,2,notworking,notworking,notworking,notworking,notworking,notworking,completed_unknown,completed_unknown,completed_unknown,completed_unknown,completed_unknown,completed_unknown,completed_unknown,completed_unknown,completed_unknown,completed_unknown,completed_unknown,completed_unknown,completed_unknown,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,morning_known,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,afteve_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,moraft_known,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,afteve_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,morning_known,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,afteve_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,morning_known,notworking
224,2,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,afteve_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,morning_known,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,afteve_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,morning_known,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,afteve_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,morning_known,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,afteve_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,morning_known,notworking
235,2,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,completed_unknown,completed_unknown,completed_unknown,completed_unknown,completed_unknown,completed_unknown,completed_unknown,completed_unknown,completed_unknown,completed_unknown,completed_unknown,completed_unknown,completed_unknown,completed_unknown,completed_unknown,completed_unknown,completed_unknown,completed_unknown,completed_unknown,completed_unknown,completed_unknown,completed_unknown,completed_unknown,completed_unknown,completed_unknown,completed_unknown,completed_unknown,afteve_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,morning_known,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,afteve_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,morning_known,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,afteve_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,morning_known,notworking
237,2,notworking,notworking,notworking,notworking,notworking,completed_unknown,completed_unknown,completed_unknown,completed_unknown,completed_unknown,completed_unknown,completed_unknown,completed_unknown,completed_unknown,completed_unknown,completed_unknown,completed_unknown,completed_unknown,completed_unknown,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,morning_known,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,afteve_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,morning_known,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,afteve_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,morning_known,notworking
242,1,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,completed_unknown,completed_unknown,completed_unknown,completed_unknown,completed_unknown,completed_unknown,completed_unknown,completed_unknown,completed_unknown,completed_unknown,completed_unknown,completed_unknown,completed_unknown,completed_unknown,completed_unknown,completed_unknown,completed_unknown,completed_unknown,completed_unknown,completed_unknown,completed_unknown,completed_unknown,completed_unknown,completed_unknown,completed_unknown,completed_unknown,completed_unknown,completed_unknown,completed_unknown,completed_unknown,completed_unknown,completed_unknown,completed_unknown,completed_unknown,completed_unknown,completed_unknown,completed_unknown,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,afteve_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,morning_known,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,afteve_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,morning_known,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,afteve_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,morning_known,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking
244,1,notworking,notworking,notworking,notworking,notworking,notworking,completed_unknown,completed_unknown,completed_unknown,completed_unknown,completed_unknown,completed_unknown,completed_unknown,completed_unknown,completed_unknown,completed_unknown,completed_unknown,completed_unknown,completed_unknown,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,morning_known,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,afteve_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,morning_known,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,afteve_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,morning_known,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,afteve_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,morning_known,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking
267,1,notworking,completed_unknown,completed_unknown,completed_unknown,completed_unknown,completed_unknown,completed_unknown,completed_unknown,completed_unknown,completed_unknown,completed_unknown,completed_unknown,completed_unknown,completed_unknown,completed_unknown,completed_unknown,completed_unknown,completed_unknown,completed_unknown,completed_unknown,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,morning_known,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,afteve_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,morning_known,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,afteve_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,morning_known,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,afteve_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,morning_known,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking
285,1,notworking,notworking,notworking,notworking,notworking,notworking,completed_unknown,completed_unknown,completed_unknown,completed_unknown,completed_unknown,completed_unknown,completed_unknown,completed_unknown,completed_unknown,completed_unknown,completed_unknown,notworking,completed_unknown,completed_unknown,completed_unknown,completed_unknown,completed_unknown,completed_unknown,completed_unknown,completed_unknown,completed_unknown,completed_unknown,completed_unknown,completed_unknown,completed_unknown,completed_unknown,completed_unknown,completed_unknown,completed_unknown,completed_unknown,completed_unknown,completed_unknown,completed_unknown,completed_unknown,completed_unknown,completed_unknown,completed_unknown,completed_unknown,completed_unknown,completed_unknown,completed_unknown,afteve_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,afteve_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,morning_known,afteve_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,morning_known,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,afteve_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,completed_known,morning_known,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking,notworking
