Start,End,Site,Recorder
25/08/2013,07/09/2013,MW18,KR2
25/08/2013,07/09/2013,EW16,KR1
25/08/2013,07/09/2013,EW18,KR4
25/08/2013,07/09/2013,EW20,KR3
25/08/2013,07/09/2013,EW21A,KR7
25/08/2013,07/09/2013,EW23A,KR6
25/08/2013,07/09/2013,EW25A,KR5
25/08/2013,07/09/2013,EW28,KR8
13/08/2013,25/08/2013,MW18,KR2
25/07/2013,13/08/2013,MW18,KR2
20/07/2013,25/08/2013,BB16,KR3
20/07/2013,25/08/2013,EW36A,KR6
20/07/2013,25/08/2013,EW33,KR4
20/07/2013,25/08/2013,EW31,KR8
29/06/2013,20/07/2013,BB12,KR3
29/06/2013,20/07/2013,BB7,KR6
29/06/2013,20/07/2013,BB3,KR4
29/06/2013,20/07/2013,OT22,KR8
29/06/2013,21/07/2013,MO67,KR1
29/06/2013,21/07/2013,MO63,KR7
29/06/2013,21/07/2013,MO59,KR5
23/06/2013,13/07/2013,MW18,KR2
15/06/2013,29/06/2013,MW4,KR4
15/06/2013,29/06/2013,MW2,KR3
15/06/2013,29/06/2013,CR41,KR8
15/06/2013,29/06/2013,MO43,KR7
15/06/2013,29/06/2013,MO47,KR1
15/06/2013,29/06/2013,MO51,KR6
15/06/2013,29/06/2013,MO55,KR5
09/06/2013,23/06/2013,MW18,KR2
09/06/2013,15/06/2013,MW16,KR1
09/06/2013,15/06/2013,MW14,KR6
09/06/2013,15/06/2013,LPB,KR3
09/06/2013,15/06/2013,MW12,KR7
09/06/2013,15/06/2013,MW10,KR4
09/06/2013,15/06/2013,MW8,KR8
09/06/2013,15/06/2013,MW6,KR5
26/05/2013,09/06/2013,MW18,KR2
26/05/2013,09/06/2013,WW17A,KR4
26/05/2013,09/06/2013,SG2,KR7
26/05/2013,09/06/2013,SG4,KR3
26/05/2013,09/06/2013,WG,KR8
12/05/2013,26/5/2013,EW5,KR8
12/05/2013,26/5/2013,EW8,KR3
12/05/2013,26/5/2013,LG3,KR7
12/05/2013,26/5/2013,WW14A,KR6
12/05/2013,26/5/2013,WW17A,KR4
12/05/2013,26/5/2013,MW18,KR2
28/04/2013,12/5/2013,EW5,KR8
28/04/2013,12/5/2013,EW8,KR3
28/04/2013,12/5/2013,LG3,KR7
28/04/2013,12/5/2013,WW14A,KR6
28/04/2013,12/5/2013,MW18,KR2
20/04/2013,28/04/2013,MW18,KR2
20/04/2013,12/05/2013,WW17A,KR4
02/03/2013,24/04/2013,EW14,KR8
02/03/2013,24/04/2013,EW12,KR1
02/03/2013,24/04/2013,EW10,KR5
02/03/2013,28/04/2013,EW8,KR3
02/03/2013,28/04/2013,LG3,KR7
24/11/2012,28/04/2013,WW14A,KR6
24/11/2012,02/03/2013,WW12A,KR1
24/11/2012,02/03/2013,WW10A,KR5
25/08/2012,24/11/2012,MW16,KR6
25/08/2012,2/3/2013,WW17A,KR3
25/08/2012,24/11/2012,WW20A,KR1
25/08/2012,24/11/2012,MW18,KR5
05/11/2011,19/11/2011,WWMB,KR3
06/11/2011,13/11/2011,WW17A,KR4
13/11/2011,19/11/2011,WW17A,KR4
19/11/2011,10/12/2011,LPC,KR7
19/11/2011,03/12/2011,LPB,KR2
19/11/2011,10/12/2011,LPA,KR6
19/11/2011,10/12/2011,WW13,KR8
19/11/2011,10/12/2011,WWMB,KR3
19/11/2011,10/12/2011,WW17A,KR4
19/11/2011,03/12/2011,XA1,KR1
03/12/2011,28/12/2011,XA1,KR1
03/12/2011,28/12/2011,LPB,KR2
10/12/2011,04/01/2012,LPC,KR7
10/12/2011,04/01/2012,LPA,KR6
10/12/2011,04/01/2012,WW17A,KR5
10/12/2011,04/01/2012,WWMB,KR3
10/12/2011,04/01/2012,WW13,KR8
28/12/2011,15/01/2012,XA1,KR1
28/12/2011,15/01/2012,LPB,KR2
05/01/2012,29/01/2012,BB6,KR4
05/01/2012,11/03/2012,WW13,KR8
05/01/2012,11/03/2012,LPA,KR6
05/01/2012,11/03/2012,WW17A,KR5
05/01/2012,11/03/2012,WWMB,KR3
05/01/2012,11/03/2012,LPC,KR7
15/01/2012,29/01/2012,XA1,KR1
29/01/2012,26/02/2012,XA1,KR1
11/03/2012,01/04/2012,SG2,KR4
11/03/2012,09/04/2012,SG4,KR1
11/03/2012,09/04/2012,LPA,KR6
11/03/2012,09/04/2012,LPB,KR8
